rank,app_id,title
1,jp.pokemon.pokemonchampions,"Pokémon Champions"
2,com.noriworks.gm,"고스톱M : 데이터 필요없는 맞고 게임"
3,com.oakever.meowdoku,"Meowdoku: 두뇌 퍼즐 게임"
4,com.mocacorp.tile,"타일 킹 - 트리플 매치"
5,com.naddic.bbhero,"별별히어로 : RPG 맛집"
6,com.ecffri.arrows,"애로우즈 – 퍼즐 이스케이프 (Arrows)"
7,com.mocacorp.sudoku,"스도쿠"
8,com.oakever.arrows,"Amaze GO! - 화살표 퍼즐"
9,com.playtstudio.abyssknight,"심연의 기사 키우기"
10,com.grandgames.magicsort,"매직 정렬!  (Magic Sort !)"
11,com.noriworks.kg,"국민 고스톱"
12,com.jsjskr.google,"토이 삼국"
13,com.group1024.fox,"천년의 구미호 키우기"
14,com.block.juggle,"블록 블라스트 (Block Blast)"
15,com.nexon.fmk,"FC 모바일"
16,com.highbrow.games.dvo,"드래곤빌리지3"
17,com.xman.kr.gp,"X 클래시"
18,com.puzzlegames.puzzlebrickslegend,"컬러블록: 콤보 블라스트(Color Block)"
19,jp.co.ponos.battlecatskr,"냥코 대전쟁"
20,com.dreamgames.royalkingdom,"로얄 킹덤 (Royal Kingdom)"
21,jp.co.goodroid.hyper.busflow,"Bus Traffic Fever!"
22,com.mergegames.gossipharbor,"가십하버: 합성 & 스토리 게임"
23,com.phs.global,"라스트 어사일럼: 페스트"
24,com.netflix.NGP.TocaHairSalon4,"Toca Boca Hair Salon 4 NETFLIX"
25,com.hkqs.nba2026.google,"NBA Basketball World 2026"
26,color.number.paint.pixle.art.sort.jigsaw,"Jewel Coloring"
27,com.run.tower.defense,"킹샷:Kingshot"
28,com.riftsky.mhg.kr.gp,"더 코지 플로리스트"
29,com.leap.searchit,"Search It – 숨은그림찾기"
30,com.wemadeconnect.aos.makedrama.google,"메이크 드라마 : MAD"
31,com.roblox.client,"로블록스 (Roblox)"
32,com.oakever.tiletrip,"Tile Explorer - 트리플 매치"
33,com.dwgames.chunorpg,"추노 키우기"
34,com.nexon.ma,"메이플 키우기"
35,com.mymskr.gp,"호드 워:어벤저의 소환"
36,com.nianticlabs.pokemongo,"Pokémon GO"
37,com.fatmerge.global,"테이스티 트레블: 합성 게임"
38,com.nebula.mahjongtile,"마작 블래스트 (Mahjong Blast)"
39,com.flower.forest.word.puzzle,"Flower Forest - 워드 퍼즐"
40,com.lucky.arrow.out.path,"Lucky Arrow Out"
41,beats.color.sing.star.rush,"피아노타일9: 리듬게임 음악·노래·음악·케이팝"
42,com.tocaboca.tocahairsalon4,"Toca Boca Hair Salon 4"
43,com.ujoygp.flower,"오늘의 꽃"
44,com.funplus.ts.global,"타일 서바이벌"
45,com.soccer.score.star,"사커 슈퍼스타 (Soccer Superstar)"
46,com.vitastudio.mahjong,"비타 마작(Vita Mahjong)"
47,com.arrow.madness.games.arrows.escape.puzzle.game,"Maze Madness - 두뇌 퍼즐"
48,com.hidea.cat.magicrecipe,"고양이와 스프: 마법의 레시피 (머지 게임)"
49,com.warrior.screw.gp,"나사 풀기 대작전"
50,com.superplaystudios.disneysolitairedreams,"Disney Solitaire"
51,com.epicoro.castleclashers,"Castle Busters"
52,com.chirpysort.game.android,"Chirpy Sort: Bird Color Puzzle"
53,com.readygo.barrel.gp,"라스트 Z: 서바이벌 슈터"
54,com.supercell.brawlstars,"브롤스타즈"
55,com.gof.global,"WOS: 화이트아웃 서바이벌"
56,word.games.puzzle.offline.games,"낱말퀴즈-단어&단어게임&두뇌 훈련&현실적인 게임"
57,com.cedargames.mysterytown,"미스터리 타운: 합성 게임 (Mystery Town)"
58,com.dreamgames.royalmatch,"로얄 매치 Royal Match"
59,com.superbox.aos.suikagame,"멜론 메이커 : 과일 파티"
60,sheep.animal.parking.puzzle.game.jam,"Sheep Dash: Sheep Away"
61,com.youmusic.magictiles,"매직 타일 3: 피아노 게임 케이팝 노래"
62,com.unept.leveldevil,"Level Devil - NOT A Troll Game"
63,easy.sudoku.puzzle.solver.free,"스도쿠 - 클래식 스도쿠 퍼즐"
64,com.pocket.sort.coin.puzzle.game,"포켓 정렬 (Pocket Sort): 동전 병합 퍼즐"
65,com.fiveminlab.overgeared.hero.backpack.merge,"템빨용사: 픽셀 아이템 머지 RPG"
66,app.gajami.keycap,"딸깍 - 키캡 ASMR"
67,com.percent.aos.cooptd,"협타디: 협동 타워 디펜스"
68,com.lighthouse.freeplay.kr,"라스트 라이트: 디펜스"
69,com.percent.aos.luckydefense,"운빨존많겜"
70,com.hollywood.merge,"할리우드 머지"
71,com.wood.block.sudoku.puzzle.bm,"블록 크러시: 블록 블라스트 퍼즐"
72,com.brain.crazy.joygame,"Brain Puzzle 3: Crazy Mind"
73,com.sled.surfers.game,"Sled Surfers  - 슬로프 어드벤처"
74,com.haegin.kbo,"2026 프로야구GO!"
75,com.pocketchamps.game,"포켓 챔프: 3D 레이싱 게임"
76,com.tarkinstudios.game.fruitmatchfusion,"Fruit Match Fusion"
77,com.brain.twist.tricky.story,"Tricky Story 2: Brain Twist"
78,com.xgame.asia.kr.gp,"히어로 클래시: 연결 대작전"
79,io.supercent.weaponrpg,"XP Hero (XP 히어로)"
80,com.andaman.games.block.puzzle.free,"Block Puzzle：Bloom Journey"
81,com.nflystudio.InfiniteStaircase,"무한의 계단"
82,com.fty.thejudge,"들여보낼까 말까? - Let Them In?"
83,com.playrix.township,"꿈의 마을 (Township)"
84,pics.karaage.sokutaiho,"순찰중! 바로 체포!"
85,com.whoyaho.tanghulu,"탕후루의 달인 - 두쫀쿠, 급식, 배달 먹방 ASMR"
86,com.brain.logic.joygame,"Brain Puzzle 2: Logic Twist"
87,com.haoplay.game.gp.duck,"꽥꽥 구조대 - 알 폭격 디펜스"
88,com.rush.xtreme.sports,"러시: 익스트림 (RUSH: Xtreme)"
89,find.difference.spot.differences.hidden.puzzle.games.free,"차이점 - 찾기 & 발견하기"
90,io.voodoo.holeio,"Hole.io"
91,com.spheresort.yhk,"로맨틱 스피어 볼 분류"
92,com.fc.goods.sort.matching.puzzle.triplemaster,"상품 정렬: 매치 3 퍼즐 - Goods Sorting"
93,com.demonkr.google,"귀참의 검"
94,com.vincentb.MobControl,"Mob Control"
95,com.moonactive.cmboard,"Coin Master: 보드 어드벤처"
96,com.robtopx.geometryjumplite,"Geometry Dash Lite"
97,com.awesomepiece.isekaigate,"이세카이 게이트 ISEKAI GATE"
98,com.hdfzxrpg.googlelb,"해적 키우기-방치형 RPG"
99,com.arrow.out,"Point Out: Color Escape Puzzle"
100,wool.match.color.sort.jam.puzzle,"털실 마스터"
